업종,사업장수,월회전율중앙값
소방시설 공사업,33,0.16412
건물 및 구축물 해체 공사업,22,0.16288
비계 및 형틀 공사업,20,0.15091
도장 공사업,10,0.13499
구조용 금속 판제품 및 공작물 제조업,19,0.13362
콘크리트 및 철근 공사업,318,0.12332
철골 및 관련 구조물 공사업,25,0.11972
사무ㆍ상업용 및 공공기관용 건물 건설업,10,0.11564
일반 전기 공사업,99,0.10938
건물용 금속 공작물 설치 공사업,14,0.10459
토공사업,71,0.10294
치킨 전문점,40,0.1006
내부 전기배선 공사업,42,0.09655
건물용 기계ㆍ장비 설치 공사업,71,0.08993
피자  햄버거  샌드위치 및 유사 음식점업,9,0.08824
남자용 겉옷 제조업,9,0.08065
도로 건설업,8,0.07992
육상 금속 골조 구조재 제조업,19,0.07812
상용 인력 공급 및 인사관리 서비스업,44,0.07726
일반 통신 공사업,33,0.07692
기체 여과기 제조업,13,0.07455
도배  실내 장식 및 내장 목공사업,176,0.07275
그 외 기타 건축 마무리 공사업,83,0.07143
빵류  과자류 및 당류 소매업,9,0.07143
일식 음식점업,20,0.07044
기타 구조용 금속제품 제조업,20,0.06929
주거용 부동산 관리업,17,0.06667
유리 및 창호 공사업,247,0.06637
중식 음식점업,10,0.06597
가금류 가공 및 저장 처리업 / 육류 포장육 및 냉동육,8,0.06326
육류 기타 가공 및 저장 처리업(가금류 제외),12,0.06193
서양식 음식점업,52,0.06189
미장  타일 및 방수 공사업,307,0.06122
배관 및 냉ㆍ난방 공사업,695,0.06098
고용 알선업,246,0.06005
교육관련 자문 및 평가업,17,0.05952
자동차용 신품 전기장치 제조업,8,0.05756
식물원 및 동물원 운영업,9,0.05714
기관 구내식당업,73,0.05556
내부 통신배선 공사업,23,0.05455
임시 및 일용 인력 공급업,150,0.05405
원양 어업,20,0.05341
여자용 겉옷 제조업,11,0.05333
녹음시설 운영업,8,0.05287
기타 비주거용 건물 건설업,16,0.05281
장난감 및 취미  오락용품 도매업,8,0.05271
노인 양로 복지시설 운영업,47,0.05263
예식장업,19,0.05263
금속 주조 및 기타 야금용 기계 제조업,8,0.05182
미디어콘텐츠창작업,8,0.0513
빵류 제조업,19,0.05102
자동차 임대업(렌트카),11,0.05
커피 및 차류 도매업,27,0.05
커피 전문점,31,0.05
한식 일반 음식점업,152,0.04964
산업 생산시설 종합 건설업,74,0.0489
