자료생성년월,사업장명,업종,시도,사업장형태,적용일자,가입자수,당월고지금액,신규취득자수,상실가입자수
2026-07,법무법인민주,변호사업,서울특별시,법인,2004-04-01,82,32462280,1,0
2026-07,대원정밀공업(주),그 외 자동차용 신품 부품 제조업,경기도,법인,1988-01-01,291,153308960,2,0
2026-07,한국철도공사,도시철도 운송업,대전광역시,법인,1997-01-01,26485,12396499820,631,226
2026-07,（주）호창MF,윤활유 및 그리스 제조업,부산광역시,법인,2009-07-01,42,13359980,6,0
2026-07,(주)볼빅,체조  육상 및 체력 단련용 장비 제조업,충청북도,법인,2008-12-01,109,41417680,4,0
2026-07,주식회사 상일이앤피,생활용 포장 및 위생용품  봉투 및 유사 제품 도매업,경기도,법인,2003-02-01,32,10843320,0,0
2026-07,（주）대양건설/일용/성남산성구역주택재개발정비사업 아파트신축공사,콘크리트 및 철근 공사업,경기도,법인,2024-12-09,42,19461880,0,7
2026-07,(주)로운로지스,용달 화물 자동차 운송업,경기도,법인,2021-07-12,35,10999020,3,4
2026-07,태광정밀공업사,기타 반도체 소자 제조업,경기도,개인,2001-08-01,57,19187600,1,0
2026-07,에이치엘만도 주식회사,BIZ_NO미존재사업장,경기도,법인,2014-09-01,3625,2187004580,32,19
2026-07,에이치알이 주식회사,태양력 발전업,서울특별시,법인,2009-04-15,37,19777380,2,1
2026-07,동림건설,아파트 건설업,서울특별시,법인,2018-08-01,56,28548100,0,2
2026-07,주식회사 에코아이디,플라스틱 합성피혁 제조업,경기도,법인,2010-08-17,31,12665700,2,1
2026-07,주식회사 비전파트너스,컴퓨터 시스템 통합 자문 및 구축 서비스업,전남광주통합특별시,법인,2024-03-08,63,13212300,0,5
2026-07,씨제이올리브영주식회사-비정규,화장품 및 화장용품 도매업,서울특별시,법인,2019-11-01,9152,1086662320,907,1292
2026-07,대성에너지(주),연료용 가스 제조 및 배관공급업,대구광역시,법인,2009-10-01,371,215956220,0,2
2026-07,주식회사 에이치이엔씨-(일용)부산에코델타시티공동4블럭중흥S-클래스공동주택신축공사중골조공사,콘크리트 및 철근 공사업,부산광역시,법인,2025-07-23,115,40392520,22,5
2026-07,(주)에스앤아이코퍼레이션,사업시설 유지ㆍ관리 서비스업,서울특별시,법인,2021-10-01,2013,854096080,50,19
2026-07,(주)두잉피플플러스,비주거용 부동산 관리업,경기도,법인,1998-09-09,1557,386287480,52,215
2026-07,대일씨에프,가금류 가공 및 저장 처리업 / 육류 포장육 및 냉동육,경상남도,개인,2017-03-01,52,12589100,21,21
2026-07,승문기업(주),지정 외 폐기물 수집  운반업,경기도,법인,1994-02-17,43,22447600,0,1
2026-07,현대오토에버(주),응용 소프트웨어 개발 및 공급업,서울특별시,법인,2000-08-21,5809,3557851580,11,12
2026-07,밴스의원 제주,일반의원,제주특별자치도,개인,2025-03-17,45,16274040,9,23
2026-07,(주)경수제철건설/일용/대구롯데쇼핑타운개발계획 신축공사 중 지상층 철골공사,육상 금속 골조 구조재 제조업,대구광역시,법인,2025-10-28,31,16338800,7,0
2026-07,광주새우리병원,요양병원,전남광주통합특별시,개인,2005-02-01,119,38965080,3,6
2026-07,(주)화인알텍,기타 반도체 소자 제조업,경상북도,법인,2000-08-01,199,73902240,0,13
2026-07,（주）바이와이제이,전자상거래 소매업,서울특별시,법인,2009-04-01,95,36150900,9,5
2026-07,주식회사큐텍이씨에스-(일용)국도77호선 여수 화태-백야 도로건설공사(2공구)중 해상교량 구,콘크리트 및 철근 공사업,전남광주통합특별시,법인,2023-05-29,56,20443100,1,1
2026-07,대명지이씨(주)/일용/P4 Ph4(상동) 마감공사 중 Ph4 일반전기공사 3공구,일반 전기 공사업,경기도,법인,2025-10-01,405,175926280,81,2
2026-07,해태가루비(주) 제2공장,제조 / 코코아제품및설탕과자,강원특별자치도,법인,2016-05-01,60,24043300,0,1
2026-07,(주)엘라스텍,그 외 자동차용 신품 부품 제조업,경상북도,법인,2011-05-01,57,16422640,3,2
2026-07,(주)명가종합관리,건축물 일반 청소업,부산광역시,법인,2000-11-01,41,8786180,5,5
2026-07,서울봄연합의원,일반의원,서울특별시,개인,2019-09-23,39,12027700,1,1
2026-07,동명농업협동조합,신용조합,경상북도,법인,1988-01-01,31,14786700,0,0
2026-07,(주)메덱셀,전기식 진단 및 요법 기기 제조업,경기도,법인,2000-08-29,43,13539960,0,0
2026-07,태광후지킨 주식회사,장난감 및 취미  오락용품 도매업,부산광역시,법인,2007-07-02,1411,618599020,124,23
2026-07,넥센타이어(주)창녕공장,타이어 및 튜브 제조업,경상남도,법인,2012-01-01,1241,677849940,15,129
2026-07,동아회원거래소(주),사업 및 무형 재산권 중개업,서울특별시,법인,2002-12-01,57,22955780,1,0
2026-07,한국다우케미칼실리콘주식회사,합성수지 및 기타 플라스틱 물질 제조업,서울특별시,법인,2019-02-01,216,126007360,0,9
2026-07,유한회사이엔씨정우,선박 구성 부분품 제조업,전남광주통합특별시,법인,2021-03-05,90,26232340,1,0
2026-07,(주)장보고식자재마트(고객배송센터),슈퍼마켓,대구광역시,법인,2015-10-01,57,17615240,0,0
2026-07,（주）에코그린티엠,건축물 일반 청소업,서울특별시,법인,2010-07-01,87,15720160,10,3
2026-07,삼호개발（주）-(일용)동북선 도시철도 민간투자사업 토공 및 철근콘크리트공사,미장  타일 및 방수 공사업,서울특별시,법인,2021-01-25,146,36572600,3,16
2026-07,화순농업협동조합,국내은행,전남광주통합특별시,법인,1988-01-01,111,46346600,1,1
2026-07,케이지모빌리티 주식회사,화물 자동차 및 특수 목적용 자동차 제조업,경기도,법인,1988-02-27,3807,2324014620,1,20
2026-07,본푸드서비스 주식회사,기관 구내식당업,서울특별시,법인,1994-07-04,1184,312068320,74,67
2026-07,제주느영나영시니어클럽,해당없음,제주특별자치도,법인,2026-04-01,42,7792520,17,0
2026-07,(주)문수이엔지,그 외 기타 분류 안된 전문  과학 및 기술 서비스업,경기도,법인,2023-11-16,43,12383480,1,2
2026-07,봉화군립노인전문요양병원,해당없음,경상북도,법인,2009-01-01,41,12612280,2,1
2026-07,롯데쇼핑(주),백화점,서울특별시,법인,1988-01-01,4620,2065473000,160,217
2026-07,주식회사호연기업,그 외 기타 분류 안된 사업 지원 서비스업,경상남도,법인,2022-10-07,35,10613740,3,0
2026-07,월급쟁이부자들(주),기타 기술 및 직업 훈련학원,서울특별시,법인,2018-05-01,70,30593260,2,7
2026-07,주식회사 빅바이트컴퍼니,섬유  의복  신발 및 가죽제품 중개업 / 목재 및 건축,경기도,법인,2023-12-01,833,175792520,104,103
2026-07,주식회사이폴리움,상품 종합 도매업,서울특별시,법인,2007-08-01,51,19166460,0,3
2026-07,2026년 경기남부 무선망 시설공사 총액계약_명신,배관 및 냉ㆍ난방 공사업,경기도,법인,2014-03-01,39,10667300,0,1
2026-07,삼호개발(주)/일용/용인집단에너지사업 Project 중 토목공사 PKG B,토공사업,경기도,법인,2026-02-23,35,12722240,10,0
2026-07,에스지피엠피 주식회사,사업시설 유지ㆍ관리 서비스업,경기도,법인,2024-02-01,38,9629100,1,0
2026-07,씨에스알와인 주식회사,주류 도매업,서울특별시,법인,2007-10-01,52,20103460,0,1
2026-07,한국에코산업주식회사,금속류 원료 재생업,경기도,법인,2006-01-01,37,14714600,5,5
2026-07,에스엘라이프주식회사,전자상거래 소매업,서울특별시,법인,2003-06-25,56,18237260,3,1
2026-07,창민의료재단의료법인,요양병원,충청북도,법인,1988-08-26,116,36043640,2,1
2026-07,주식회사 포에이스,그 외 기타 1차 철강 제조업,전남광주통합특별시,법인,1991-09-04,146,77731200,0,8
2026-07,(주)에스씨케이컴퍼니,커피 및 차류 도매업,서울특별시,법인,1997-12-01,22758,5431025060,577,790
2026-07,서울아로한방병원,요양병원,서울특별시,개인,2020-05-04,33,12298960,7,6
2026-07,주식회사 이스턴산업,기타 직물제품 제조업,서울특별시,법인,2011-12-15,31,11273380,0,0
2026-07,동대문구청,비주거용 건물 임대업(점포  자기땅),서울특별시,법인,1995-01-01,208,57177300,0,11
2026-07,(주)티니위니코리아,시각 디자인업,서울특별시,법인,2018-10-01,83,35321840,3,2
2026-07,주식회사 유원지리정보시스템,측량업,경기도,법인,2008-01-01,94,33139460,6,1
2026-07,선산복지재단 성부정신수양원,BIZ_NO미존재사업장,대구광역시,법인,1988-01-01,30,14237440,0,0
2026-07,유니텔전자(주),전기용 기계ㆍ장비 및 관련 기자재 도매업,서울특별시,법인,1999-11-01,37,17962960,0,0
2026-07,(주)마뗑킴,전자상거래 소매업,경기도,법인,2018-11-01,66,27541340,6,4
2026-07,주식회사 지금융코리아,보험 대리 및 중개업,서울특별시,법인,2020-06-23,173,47686860,12,4
2026-07,주식회사 엔씨,응용 소프트웨어 개발 및 공급업,경기도,법인,1997-04-01,3439,1996358020,56,34
2026-07,월드퀀트리서치사우스코리아엘엘씨 한국지점,시장 조사 및 여론 조사업,서울특별시,법인,2015-09-01,34,21285360,0,1
2026-07,(주)한국마이콤,산업용 냉장 및 냉동장비 제조업,서울특별시,법인,1988-01-01,153,68729620,0,3
2026-07,성문회계법인,BIZ_NO미존재사업장,대구광역시,법인,2015-07-01,40,13327060,0,1
2026-07,대한지방행정공제회,비주거용 건물 임대업(점포  자기땅),서울특별시,법인,1988-01-01,175,104662640,0,1
2026-07,(주)서경,육류 도매업,경기도,법인,2016-06-11,47,15112240,4,1
2026-07,페이레터(주),통신 재판매업,서울특별시,법인,2001-01-29,123,53270360,0,0
2026-07,노화농업협동조합,기타 금융 투자업,전남광주통합특별시,법인,1988-01-01,56,21969720,0,0
2026-07,에스케이바이오사이언스(주),BIZ_NO미존재사업장,인천광역시,법인,2018-07-01,570,300317560,15,13
2026-07,이현어패럴(주),해당없음,서울특별시,법인,1999-04-10,60,19223140,0,11
2026-07,주식회사 현대케피코,그 외 자동차용 신품 부품 제조업,경기도,법인,1988-01-01,1726,1078448860,4,7
2026-07,씨티재활의학과요양병원,요양병원,전남광주통합특별시,개인,2007-04-02,109,26101000,7,0
2026-07,주식회사이엔티파워/일용/영흥 1 2호기 환경설비 잔여사업 설치조건부 구매,배관 및 냉ㆍ난방 공사업,인천광역시,법인,2025-06-05,68,31639100,2,29
2026-07,(주)성진테크,그 외 자동차용 신품 부품 제조업,경상남도,법인,2000-11-01,36,15521460,0,0
2026-07,주식회사 케이디헬스케어,상품 종합 도매업,서울특별시,법인,2011-12-01,64,19365860,0,5
2026-07,(주)동부/일용/평택전자 P5 그린동 신축공사 중[P5]Ph1 Pipe Rack 설치공사,배관 및 냉ㆍ난방 공사업,경기도,법인,2023-12-11,57,35298780,12,2
2026-07,(주) 서현개발/일용/김포북변4재개발 철근콘크리트공사(3공구),철골 및 관련 구조물 공사업,경기도,법인,2024-12-26,38,16722180,5,2
