업종,사업장수,월회전율중앙값,p25,p75,p90
소방시설 공사업,33,0.16412,0.102,0.25294,0.31818
건물 및 구축물 해체 공사업,22,0.16288,0.13158,0.36806,0.55691
비계 및 형틀 공사업,20,0.15091,0.06757,0.2602,0.39831
도장 공사업,10,0.13499,0.0875,0.2549,0.32075
구조용 금속 판제품 및 공작물 제조업,19,0.13362,0.04054,0.16176,0.5
콘크리트 및 철근 공사업,318,0.12332,0.07812,0.19863,0.31944
철골 및 관련 구조물 공사업,25,0.11972,0.09211,0.21429,0.32857
사무ㆍ상업용 및 공공기관용 건물 건설업,10,0.11564,0.07778,0.26531,0.57
일반 전기 공사업,99,0.10938,0.04717,0.17964,0.37209
건물용 금속 공작물 설치 공사업,14,0.10459,0.07407,0.16489,0.20455
토공사업,71,0.10294,0.05769,0.17391,0.27778
치킨 전문점,40,0.1006,0.0625,0.13889,0.18919
내부 전기배선 공사업,42,0.09655,0.04688,0.15116,0.22917
건물용 기계ㆍ장비 설치 공사업,71,0.08993,0.05,0.18571,0.3125
피자  햄버거  샌드위치 및 유사 음식점업,9,0.08824,0.04348,0.12222,0.15306
남자용 겉옷 제조업,9,0.08065,0.03797,0.08696,0.1
도로 건설업,8,0.07992,0.04444,0.12162,0.14655
육상 금속 골조 구조재 제조업,19,0.07812,0.0274,0.1129,0.31944
상용 인력 공급 및 인사관리 서비스업,44,0.07726,0.03226,0.125,0.20968
일반 통신 공사업,33,0.07692,0.03125,0.1749,0.22403
기체 여과기 제조업,13,0.07455,0.04225,0.13158,0.34
도배  실내 장식 및 내장 목공사업,176,0.07275,0.02679,0.16935,0.34722
그 외 기타 건축 마무리 공사업,83,0.07143,0.03061,0.16304,0.23077
빵류  과자류 및 당류 소매업,9,0.07143,0.03756,0.10526,0.26838
일식 음식점업,20,0.07044,0.05814,0.11905,0.19697
기타 구조용 금속제품 제조업,20,0.06929,0.01667,0.12963,0.33
주거용 부동산 관리업,17,0.06667,0.03774,0.0678,0.10294
유리 및 창호 공사업,247,0.06637,0.02778,0.12903,0.21429
중식 음식점업,10,0.06597,0.03922,0.11429,0.17045
가금류 가공 및 저장 처리업 / 육류 포장육 및 냉동육,8,0.06326,0.04839,0.21698,0.40385
육류 기타 가공 및 저장 처리업(가금류 제외),12,0.06193,0.02941,0.12963,0.18519
서양식 음식점업,52,0.06189,0.04286,0.10849,0.14681
미장  타일 및 방수 공사업,307,0.06122,0.02419,0.13889,0.24324
배관 및 냉ㆍ난방 공사업,695,0.06098,0.02326,0.12264,0.23256
고용 알선업,246,0.06005,0.03614,0.09239,0.125
교육관련 자문 및 평가업,17,0.05952,0.01786,0.09524,0.18571
자동차용 신품 전기장치 제조업,8,0.05756,0.02857,0.09302,0.11268
식물원 및 동물원 운영업,9,0.05714,0.02857,0.0814,0.11358
기관 구내식당업,73,0.05556,0.03165,0.07914,0.09836
내부 통신배선 공사업,23,0.05455,0.02,0.10496,0.16111
임시 및 일용 인력 공급업,150,0.05405,0.02692,0.09677,0.15596
원양 어업,20,0.05341,0.02632,0.2,0.28333
여자용 겉옷 제조업,11,0.05333,0.02273,0.125,0.12903
녹음시설 운영업,8,0.05287,0.03431,0.07282,0.10204
기타 비주거용 건물 건설업,16,0.05281,0.03409,0.10385,0.2047
장난감 및 취미  오락용품 도매업,8,0.05271,0.04054,0.07407,0.07857
노인 양로 복지시설 운영업,47,0.05263,0.03125,0.06771,0.08235
예식장업,19,0.05263,0.01667,0.08108,0.29464
금속 주조 및 기타 야금용 기계 제조업,8,0.05182,0.03333,0.08065,0.14241
미디어콘텐츠창작업,8,0.0513,0.03922,0.85294,0.95833
빵류 제조업,19,0.05102,0.02174,0.08182,0.19565
자동차 임대업(렌트카),11,0.05,0.02083,0.08824,0.125
커피 및 차류 도매업,27,0.05,0.02174,0.05809,0.09422
커피 전문점,31,0.05,0.02542,0.10294,0.14444
한식 일반 음식점업,152,0.04964,0.02778,0.09375,0.14706
산업 생산시설 종합 건설업,74,0.0489,0.01828,0.13953,0.19231
휴양 콘도 운영업,14,0.04873,0.03254,0.07339,0.18874
육류 소매업,13,0.04688,0.01974,0.06977,0.11321
소독  구충 및 방제 서비스업,11,0.04651,0.02778,0.08865,0.21667
제과점업,65,0.0463,0.025,0.08333,0.125
라디오 방송업,12,0.04547,0.02201,0.05556,0.08333
슈퍼마켓,236,0.04545,0.02326,0.06667,0.1
영화  비디오물 및 방송 프로그램 제작 관련 서비스업,9,0.04545,0.01531,0.06818,0.25
도시락류 제조업,12,0.04545,0.03101,0.08333,0.10606
기타 토목 시설물 건설업,247,0.04412,0.02041,0.07353,0.14674
택시 운송업,233,0.04412,0.01818,0.06757,0.09375
전시  컨벤션 및 행사 대행업,33,0.04386,0.01945,0.07,0.10294
그 외 기타 달리 분류되지 않은 개인 서비스업,34,0.0438,0.02113,0.07955,0.1129
가방 및 보호용 케이스 도매업,8,0.04378,0.02885,0.0641,0.08333
육류 포장육 및 냉동육 가공업(가금류 제외),8,0.04375,0.0303,0.05714,0.06061
전자상거래 소매업,280,0.04317,0.02419,0.07353,0.1
수중 공사업,40,0.04293,0.01087,0.12857,0.2125
속옷 및 잠옷 소매업,8,0.04287,0.03125,0.12766,0.21667
비주거용 건물 개발 및 공급업,27,0.04286,0.02381,0.09023,0.19737
부동산 중개 및 대리업,33,0.04255,0.02439,0.06757,0.16935
애완용 동물 및 관련용품 소매업,13,0.04255,0.03676,0.07143,0.08824
기타 곡물 가공품 제조업,45,0.04192,0.01724,0.05714,0.07317
그 외 기타 달리 분류되지 않은 제품 제조업,15,0.04167,0.025,0.04701,0.09677
전자 부품 실장기판 제조업,8,0.04144,0.03226,0.10227,0.26852
채소  과실 및 뿌리작물 소매업,11,0.04103,0.01429,0.0625,0.07447
일반병원,199,0.0407,0.02448,0.06343,0.10204
주거용 건물 개발 및 공급업,45,0.03982,0.01471,0.09091,0.175
비주거용 부동산 관리업,256,0.03977,0.02168,0.06944,0.09375
손해 사정업,52,0.03965,0.02439,0.05233,0.08462
호텔업,156,0.03958,0.02174,0.06897,0.11667
영화관 운영업,9,0.03947,0.01389,0.08733,0.15714
기타 교육지원 서비스업,34,0.03925,0.02148,0.0678,0.1
건강 기능식품 제조업,8,0.03923,0.02941,0.05882,0.07558
조리 반찬류 소매업,14,0.03906,0.02423,0.09783,0.11667
경비 및 경호 서비스업,185,0.03891,0.01754,0.06265,0.09459
자연공원 운영업,12,0.03873,0.03035,0.06707,0.06828
한방병원,347,0.03846,0.01961,0.06522,0.09615
육류 도매업,35,0.03846,0.01471,0.05319,0.08333
두발 미용업,14,0.03828,0.02632,0.05625,0.07407
건축물 일반 청소업,417,0.03784,0.02041,0.06429,0.09722
화장품  비누 및 방향제 소매업,21,0.03759,0.01562,0.04851,0.0816
시계 및 귀금속 제품 도매업,17,0.0375,0.02179,0.07407,0.08571
육류 가공식품 도매업,71,0.03659,0.01493,0.05328,0.0922
수산식물 가공 및 저장 처리업,13,0.03659,0.02451,0.04808,0.08537
비알코올 음료 도매업,21,0.03659,0.02333,0.07812,0.0875
의복 액세서리 및 모조 장신구 도매업,22,0.03635,0.02222,0.07292,0.09091
