자료생성년월,사업장명,업종,시도,사업장형태,가입자수,당월고지금액,신규취득자수,상실가입자수
2026-07,(주)포원,화물 운송 중개  대리 및 관련 서비스업,경상북도,법인,159,88212480,1,0
2026-07,삼성발레오써멀시스템스주식회사,그 외 자동차용 신품 부품 제조업,경상남도,법인,135,50459780,3,4
2026-07,동연요양원(사복),신문용지 제조업,울산광역시,법인,35,15949860,0,0
2026-07,주식회사 헤이어,임시 및 일용 인력 공급업,경기도,법인,295,77325160,2,219
2026-07,서울오브치과병원,치과병원,서울특별시,개인,36,11710600,0,0
2026-07,(주)에스텍플러스,그 외 기타 분류 안된 사업 지원 서비스업,서울특별시,법인,1189,304898920,82,53
2026-07,안양여자고등학교,해당없음,경기도,법인,34,12572760,0,0
2026-07,우양기건（주)(일용)일산 덕이동 데이터센터(경기) 설비공사,배관 및 냉ㆍ난방 공사업,경기도,법인,30,13543080,1,5
2026-07,주식회사 비이링크,기타 반도체 소자 제조업,경기도,법인,46,17999980,1,2
2026-07,케이카 주식회사,전자상거래 소매업,서울특별시,법인,1110,552223720,10,13
2026-07,(주) 조형기술개발/일용/삼산대보아파트구역 주택재건축 정비사업 중 철근콘크리트공사,콘크리트 및 철근 공사업,인천광역시,법인,80,32537060,27,0
2026-07,아미코젠(주),천연 및 혼합 조제 조미료 제조업,경상남도,법인,207,81027540,4,1
2026-07,한국항만물류협회서산,BIZ_NO미존재사업장,서울특별시,법인,38,23789520,0,0
2026-07,주식회사온무지개,애완 동물 장묘 및 보호 서비스업,경기도,법인,41,8738300,0,0
2026-07,주식회사국성,그 외 기타 분류 안된 사업 지원 서비스업,전남광주통합특별시,법인,60,15875480,0,8
2026-07,에이디반도체(주),기타 반도체 소자 제조업,서울특별시,법인,67,27610620,1,0
2026-07,사단법인가경사회서비스지원센터/아이돌봄지원사업,기타 인문 및 사회과학 연구개발업,경상북도,법인,109,25389900,1,1
2026-07,안산대학교,BIZ_NO미존재사업장,경기도,법인,106,16714040,0,9
2026-07,대종엔지니어링주식회사-(일용)전주 현대차 트럭공장 합리화공사 중 기계설비공사(2공구),배관 및 냉ㆍ난방 공사업,전북특별자치도,법인,94,48186800,0,53
2026-07,서천한국요양병원,요양병원,충청남도,개인,50,12924360,0,0
2026-07,예인건설(주)/일용/안동 용상동 공동주택 신축공사 중 철근콘크리트 공사,도장 공사업,경상북도,법인,37,17463360,6,0
2026-07,사)서울경마장조교사협회,그 외 기타 스포츠 서비스업,경기도,법인,449,234394620,1,4
2026-07,(주)안진테크,선박 구성 부분품 제조업,울산광역시,법인,59,22411440,1,3
2026-07,(주)비지에프리테일,상품 종합 도매업,서울특별시,법인,3038,1317811660,112,106
2026-07,（주）피디케이,물질 검사  측정 및 분석 기구 제조업,대전광역시,법인,45,17235540,2,0
2026-07,주식회사에이치티,배관 및 냉ㆍ난방 공사업,경기도,법인,61,12740800,12,11
2026-07,(주)용마루건설/일용/평택브레인시티공동주택신축공사중건축 기계 토목 조경공사중철근콘크리트공사,콘크리트 및 철근 공사업,경기도,법인,40,16137940,21,0
2026-07,(주)제이앤케이도시정비,경영 컨설팅업,서울특별시,법인,34,11611780,5,5
2026-07,두양건축(주)-(일용)호텔서울 본관 리뉴얼공사 중 전면객실 인테리어공사(2공구),아파트 건설업,서울특별시,법인,46,17933540,32,42
2026-07,삼성화재해상보험주식회사,손해보험업,서울특별시,법인,5634,3442350540,64,34
2026-07,목포미즈아이병원,요양병원,전남광주통합특별시,개인,151,49800260,1,0
2026-07,한전에프엠에스주식회사,비주거용 부동산 관리업,전남광주통합특별시,법인,1378,470087440,58,12
2026-07,에이치엘만도 주식회사,BIZ_NO미존재사업장,경기도,법인,3625,2187004580,32,19
2026-07,영동산업주식회사,그 외 자동차용 신품 부품 제조업,경기도,법인,51,15120320,0,1
2026-07,(주)부산은행,국내은행,부산광역시,법인,2860,1694776020,41,18
2026-07,서울대학교,비주거용 건물 임대업(점포  자기땅),서울특별시,법인,1518,316900120,0,8
2026-07,(재)우체국물류지원단,공영 우편업,서울특별시,법인,1581,632455820,40,21
2026-07,（주）수공단개발,부동산 중개 및 대리업,경상북도,법인,31,7363200,8,7
2026-07,(주)키스템프그룹,고용 알선업,서울특별시,법인,1220,299963260,80,71
2026-07,(주)대일소방,기타 산업용 기계 및 장비 도매업,부산광역시,법인,44,18107860,0,0
2026-07,다올이앤씨(주)/일용/호남고속철도2단계(고막원~목포)제1공구 노반신설 기타공사 교량상부공,유리 및 창호 공사업,전남광주통합특별시,법인,70,26064660,4,1
